# generated by: python3 scripts/21-private-renewal.py  (repo: fluxwhitepaper; run 2026-09-03)
# generated on: 2026-09-03
# source: api.runonflux.io/apps/globalappsspecifications, retrieved 2026-09-03T01:32:00Z; 1195 applications
# anonymity-class sizes: for each period-price class (cited FluxOS formula, no instance term): price_flux  apps_in_class
0.02 3
0.05 63
0.06 3
0.08 2
0.09 5
0.10 3
0.12 1
0.13 2
0.14 1
0.15 4
0.16 1
0.17 1
0.18 2
0.20 4
0.21 3
0.22 5
0.23 1
0.24 3
0.25 2
0.26 7
0.27 26
0.28 2
0.29 5
0.30 1
0.31 2
0.32 1
0.34 58
0.35 4
0.36 4
0.37 4
0.38 1
0.39 30
0.41 7
0.43 19
0.44 3
0.45 2
0.46 3
0.50 3
0.51 5
0.52 5
0.54 2
0.55 2
0.57 3
0.58 4
0.59 1
0.60 2
0.61 1
0.62 1
0.63 3
0.64 1
0.65 3
0.66 2
0.67 10
0.68 3
0.70 2
0.71 2
0.72 2
0.73 12
0.74 2
0.75 1
0.77 1
0.78 36
0.79 5
0.80 62
0.81 27
0.82 6
0.83 2
0.84 2
0.85 5
0.86 3
0.87 2
0.88 8
0.89 5
0.91 3
0.93 2
0.94 5
0.95 2
0.96 7
0.97 4
0.98 3
0.99 7
1.00 2
1.01 1
1.02 7
1.03 5
1.04 3
1.05 2
1.06 3
1.07 2
1.08 3
1.09 1
1.10 2
1.11 3
1.12 2
1.13 8
1.15 1
1.16 3
1.17 1
1.18 1
1.19 4
1.20 3
1.21 2
1.23 30
1.24 4
1.27 3
1.28 1
1.29 3
1.30 2
1.32 3
1.35 1
1.36 1
1.37 1
1.39 1
1.40 2
1.41 1
1.42 3
1.43 1
1.44 1
1.45 1
1.47 1
1.48 1
1.54 1
1.56 29
1.57 2
1.58 1
1.59 2
1.60 7
1.61 1
1.62 2
1.64 1
1.65 1
1.66 1
1.70 2
1.71 3
1.72 1
1.73 1
1.74 2
1.75 1
1.77 2
1.78 1
1.79 1
1.80 3
1.82 22
1.83 7
1.86 1
1.87 2
1.89 1
1.90 1
1.92 1
1.94 1
1.95 4
1.98 1
2.00 3
2.01 1
2.02 1
2.05 1
2.06 1
2.10 4
2.11 1
2.14 1
2.15 2
2.17 1
2.18 1
2.19 3
2.20 1
2.21 3
2.23 2
2.25 1
2.27 1
2.29 1
2.30 1
2.31 1
2.32 1
2.33 2
2.36 1
2.37 2
2.38 2
2.40 6
2.42 1
2.44 1
2.46 4
2.49 1
2.50 11
2.51 3
2.52 1
2.54 35
2.56 1
2.57 4
2.58 1
2.59 4
2.64 4
2.66 1
2.68 1
2.70 1
2.72 1
2.76 1
2.77 2
2.79 1
2.80 2
2.83 1
2.84 2
2.88 2
2.89 1
2.90 1
2.92 1
2.97 1
3.01 2
3.05 1
3.06 1
3.08 1
3.10 1
3.11 1
3.13 1
3.14 1
3.16 2
3.17 1
3.18 1
3.21 1
3.23 1
3.24 29
3.25 1
3.29 1
3.31 1
3.32 1
3.39 1
3.40 1
3.42 1
3.48 1
3.52 1
3.54 2
3.55 1
3.56 34
3.62 1
3.75 1
3.77 2
3.80 2
3.98 1
4.01 1
4.09 1
4.12 1
4.20 2
4.24 1
4.48 1
4.51 1
4.54 1
4.55 1
4.58 1
4.59 1
4.73 1
4.74 1
4.76 1
4.78 1
4.79 1
4.82 1
4.83 1
4.92 1
4.97 1
5.00 1
5.02 1
5.03 1
5.08 1
5.09 1
5.20 1
5.23 1
5.24 1
5.30 5
5.43 3
5.46 1
5.55 1
5.58 1
5.60 2
5.62 1
5.64 1
5.67 1
5.70 2
5.75 1
5.76 1
5.78 1
5.79 1
5.97 1
5.99 4
6.00 7
6.14 1
6.23 1
6.24 1
6.32 2
6.40 1
6.42 1
6.59 1
6.64 1
6.70 1
6.83 1
6.95 1
7.19 1
7.32 1
7.48 1
7.60 1
7.62 2
7.69 1
7.70 1
7.84 1
7.94 1
7.98 1
8.18 1
8.26 1
8.40 1
8.50 1
8.62 1
8.63 1
8.76 3
8.88 1
8.96 1
9.26 1
9.34 1
9.38 1
9.46 1
9.49 1
9.57 1
9.59 1
9.60 39
10.20 1
10.33 1
10.68 1
11.08 1
12.24 1
13.56 1
14.06 1
14.29 1
14.52 1
14.76 1
15.39 1
16.29 3
16.45 1
16.71 1
18.70 2
18.99 1
21.91 1
24.06 1
24.24 1
26.15 1
27.67 1
28.41 1
34.32 1
40.69 1
61.56 1
65.16 2
71.16 5
74.77 1
79.85 1
